id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
198428,2000-09-03,2000-09-03,,Pacific Time (US & Canada),11673,dreierj,66dodge,2013-02-14 21:47:33 +0100,2014-07-01 11:21:21 +0100,casual,CC0,http://www.inaturalist.org/observations/198428,,,"","",0,0,false,,"Birkenhead Lake, BC",50.5145701197,-122.7148999652,596,,,,596,,open,false,,,Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Chordata,Carnivora,Ursidae,Ursus,Ursus americanus
198429,2000-09-03,2000-09-03,,Pacific Time (US & Canada),11673,dreierj,66dodge,2013-02-14 21:47:56 +0100,2014-04-06 04:36:17 +0100,casual,CC0,http://www.inaturalist.org/observations/198429,,,"","",0,0,false,,"Birkenhead Lake, BC",50.5145701197,-122.7148999652,596,,,,596,,open,false,,,Red-necked Grebe,Podiceps grisegena,Red-necked Grebe,Aves,4224,Chordata,Podicipediformes,Podicipedidae,Podiceps,Podiceps grisegena
198430,2000-09-03,2000-09-03,,Pacific Time (US & Canada),11673,dreierj,66dodge,2013-02-14 21:48:09 +0100,2014-04-06 04:36:20 +0100,casual,CC0,http://www.inaturalist.org/observations/198430,,,"","",0,0,false,,"Birkenhead Lake, BC",50.5145701197,-122.7148999652,596,,,,596,,open,false,,,Common Merganser,Mergus merganser,Common Merganser,Aves,7004,Chordata,Anseriformes,Anatidae,Mergus,Mergus merganser
198431,2000-09-03,2000-09-03,,Pacific Time (US & Canada),11673,dreierj,66dodge,2013-02-14 21:48:27 +0100,2014-04-06 04:36:21 +0100,casual,CC0,http://www.inaturalist.org/observations/198431,,,"","",0,0,false,,"Birkenhead Lake, BC",50.5145701197,-122.7148999652,596,,,,596,,open,false,,,Bald Eagle,Haliaeetus leucocephalus,Bald Eagle,Aves,5305,Chordata,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus
198432,2000-09-03,2000-09-03,,Pacific Time (US & Canada),11673,dreierj,66dodge,2013-02-14 21:48:45 +0100,2014-04-06 04:36:23 +0100,casual,CC0,http://www.inaturalist.org/observations/198432,,,"","",0,0,false,,"Birkenhead Lake, BC",50.5145701197,-122.7148999652,596,,,,596,,open,false,,,Ruffed Grouse,Bonasa umbellus,Ruffed Grouse,Aves,890,Chordata,Galliformes,Phasianidae,Bonasa,Bonasa umbellus
198433,2000-09-03,2000-09-03,,Pacific Time (US & Canada),11673,dreierj,66dodge,2013-02-14 21:48:57 +0100,2014-04-06 04:36:22 +0100,casual,CC0,http://www.inaturalist.org/observations/198433,,,"","",0,0,false,,"Birkenhead Lake, BC",50.5145701197,-122.7148999652,596,,,,596,,open,false,,,Great Horned Owl,Bubo virginianus,Great Horned Owl,Aves,20044,Chordata,Strigiformes,Strigidae,Bubo,Bubo virginianus
198434,2000-09-03,2000-09-03,,Pacific Time (US & Canada),11673,dreierj,66dodge,2013-02-14 21:49:11 +0100,2014-04-06 04:36:26 +0100,casual,CC0,http://www.inaturalist.org/observations/198434,,,"","",0,0,false,,"Birkenhead Lake, BC",50.5145701197,-122.7148999652,596,,,,596,,,false,,,Northern Pygmy-Owl,Glaucidium gnoma,Northern Pygmy-Owl,Aves,19812,Chordata,Strigiformes,Strigidae,Glaucidium,Glaucidium gnoma
198435,2000-09-03,2000-09-03,,Pacific Time (US & Canada),11673,dreierj,66dodge,2013-02-14 21:49:27 +0100,2014-04-06 04:36:27 +0100,casual,CC0,http://www.inaturalist.org/observations/198435,,,"","",0,0,false,,"Birkenhead Lake, BC",50.5145701197,-122.7148999652,596,,,,596,,,false,,,Northern Flicker,Colaptes auratus,Northern Flicker,Aves,18236,Chordata,Piciformes,Picidae,Colaptes,Colaptes auratus
198436,2000-09-03,2000-09-03,,Pacific Time (US & Canada),11673,dreierj,66dodge,2013-02-14 21:49:40 +0100,2014-04-06 04:36:28 +0100,casual,CC0,http://www.inaturalist.org/observations/198436,,,"","",0,0,false,,"Birkenhead Lake, BC",50.5145701197,-122.7148999652,596,,,,596,,open,false,,,Pileated Woodpecker,Dryocopus pileatus,Pileated Woodpecker,Aves,17855,Chordata,Piciformes,Picidae,Dryocopus,Dryocopus pileatus
198437,2000-09-03,2000-09-03,,Pacific Time (US & Canada),11673,dreierj,66dodge,2013-02-14 21:49:55 +0100,2014-04-06 04:36:27 +0100,casual,CC0,http://www.inaturalist.org/observations/198437,,,"","",0,0,false,,"Birkenhead Lake, BC",50.5145701197,-122.7148999652,596,,,,596,,,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727,Chordata,Passeriformes,Turdidae,Turdus,Turdus migratorius
