id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
410676,"",,,Mountain Time (US & Canada),6271,gregg,Gregg Treinish,2013-09-27 21:33:46 +0100,2014-07-01 14:05:36 +0100,casual,CC-BY,http://www.inaturalist.org/observations/410676,,,"","",0,0,false,,"",59.36351401,-129.142441,,,,,,,,false,,"",Beaver,Castor canadensis,Canadian Beaver,Mammalia,43794,Chordata,Rodentia,Castoridae,Castor,Castor canadensis
503323,2012-08-09,2012-08-09,,Eastern Time (US & Canada),12610,susanelliott,Susan Elliott,2014-01-17 21:11:03 +0100,2021-06-22 18:56:47 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/503323,https://inaturalist-open-data.s3.amazonaws.com/photos/640686/medium.jpg,,"","",2,0,false,,"Boya Lake Provincial Park, British Columbia",59.382141,-129.114246,541,,,,541,,,false,,,Aspen Serpentine Leafminer Moth,Phyllocnistis populiella,Aspen Serpentine Leafminer Moth,Insecta,180712,Arthropoda,Lepidoptera,Gracillariidae,Phyllocnistis,Phyllocnistis populiella
503325,2012-08-09,2012-08-09,,Eastern Time (US & Canada),12610,susanelliott,Susan Elliott,2014-01-17 21:13:19 +0100,2019-09-25 21:18:59 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/503325,https://inaturalist-open-data.s3.amazonaws.com/photos/640688/medium.jpg,,"","",3,0,false,,"Boya Lake Provincial Park, British Columbia",59.388086,-129.11562,541,,,,541,,open,false,,,American Beaver,Castor canadensis,Canadian Beaver,Mammalia,43794,Chordata,Rodentia,Castoridae,Castor,Castor canadensis
503329,2012-08-09,2012-08-09,,Eastern Time (US & Canada),12610,susanelliott,Susan Elliott,2014-01-17 21:17:37 +0100,2017-08-31 21:31:02 +0100,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/503329,https://inaturalist-open-data.s3.amazonaws.com/photos/640692/medium.jpg,,"","",0,0,false,,"Boya Lake Provincial Park, British Columbia",59.384589,-129.113903,541,,,,541,,,false,,,wood asters,Eurybia,wood asters,Plantae,52975,Tracheophyta,Asterales,Asteraceae,Eurybia,
544903,2012-08-07,2012-08-07,,Eastern Time (US & Canada),18303,marvelliott,Marv Elliott,2014-02-26 23:08:30 +0100,2019-12-11 22:33:28 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/544903,https://inaturalist-open-data.s3.amazonaws.com/photos/693760/medium.jpg,,"","",5,0,false,,"Boya Lake Provincial Park, British Columbia",59.373692,-129.107766,135,,,,135,,open,false,,,Boreal Chickadee,Poecile hudsonicus,Boreal Chickadee,Aves,144821,Chordata,Passeriformes,Paridae,Poecile,Poecile hudsonicus
544906,2012-08-08,2012-08-08,,Eastern Time (US & Canada),18303,marvelliott,Marv Elliott,2014-02-26 23:11:06 +0100,2022-04-28 23:13:58 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/544906,https://inaturalist-open-data.s3.amazonaws.com/photos/693763/medium.jpg,,"","",5,0,false,,"Boya Lake Provincial Park, British Columbia",59.373681,-129.108152,270,,,,270,,open,false,,,mésangeai du Canada,Perisoreus canadensis,Canada Jay,Aves,8335,Chordata,Passeriformes,Corvidae,Perisoreus,Perisoreus canadensis
544912,2012-08-08,2012-08-08,,Eastern Time (US & Canada),18303,marvelliott,Marv Elliott,2014-02-26 23:14:08 +0100,2014-10-20 16:15:50 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/544912,https://inaturalist-open-data.s3.amazonaws.com/photos/693771/medium.jpg,,"","",2,0,false,,"Boya Lake Provincial Park, British Columbia",59.377769,-129.109097,541,,,,541,,open,false,,,Northern Waterthrush,Parkesia noveboracensis,Northern Waterthrush,Aves,73149,Chordata,Passeriformes,Parulidae,Parkesia,Parkesia noveboracensis
544917,2012-08-08,2012-08-08,,Eastern Time (US & Canada),18303,marvelliott,Marv Elliott,2014-02-26 23:16:27 +0100,2019-09-25 21:18:57 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/544917,https://inaturalist-open-data.s3.amazonaws.com/photos/693778/medium.jpg,,"","",2,0,false,,"Boya Lake Provincial Park, British Columbia",59.370282,-129.10399,135,,,,135,,open,false,,,American Beaver,Castor canadensis,Canadian Beaver,Mammalia,43794,Chordata,Rodentia,Castoridae,Castor,Castor canadensis
574019,2012-08-08,2012-08-08,,Eastern Time (US & Canada),18303,marvelliott,Marv Elliott,2014-03-18 14:52:33 +0100,2020-08-07 13:11:05 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/574019,https://inaturalist-open-data.s3.amazonaws.com/photos/729795/medium.jpg,,"","",2,0,false,,"Boya Lake Provincial Park, British Columbia",59.390891,-129.105866,541,,,,541,,open,false,,,Plongeon huard,Gavia immer,Common Loon,Aves,4626,Chordata,Gaviiformes,Gaviidae,Gavia,Gavia immer
574285,2012-08-09,2012-08-09,,Eastern Time (US & Canada),18303,marvelliott,Marv Elliott,2014-03-18 19:16:58 +0100,2018-03-13 15:07:51 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/574285,https://inaturalist-open-data.s3.amazonaws.com/photos/730295/medium.jpg,,"","",2,0,false,,"Boya Lake Provincial Park, British Columbia",59.379244,-129.115573,2166,,,,2166,,open,false,,,Pine Siskin,Spinus pinus,Pine Siskin,Aves,145304,Chordata,Passeriformes,Fringillidae,Spinus,Spinus pinus
