id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
502778,2012-06-13,2012-06-13,,Eastern Time (US & Canada),12610,susanelliott,Susan Elliott,2014-01-16 22:14:55 +0100,2016-06-20 03:25:55 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/502778,https://inaturalist-open-data.s3.amazonaws.com/photos/639969/medium.jpg,,"","",1,0,false,,"Charlie Lake Provincial Park, British Columbia",56.314335,-120.996423,147,,,,147,,,false,,,Tall Bluebell,Mertensia paniculata,tall bluebells,Plantae,146900,Tracheophyta,Boraginales,Boraginaceae,Mertensia,Mertensia paniculata
503575,2013-06-13,2013-06-13,,Eastern Time (US & Canada),12610,susanelliott,Susan Elliott,2014-01-18 02:54:31 +0100,2017-11-18 22:01:02 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/503575,https://inaturalist-open-data.s3.amazonaws.com/photos/641016/medium.jpg,,"","",1,0,false,,"Charlie Lake Provincial Park, British Columbia",56.313395,-120.997496,294,,,,294,,,false,,,Canada violet,Viola canadensis,Canada Violet,Plantae,70010,Tracheophyta,Malpighiales,Violaceae,Viola,Viola canadensis
503578,2012-06-13,2012-06-13,,Eastern Time (US & Canada),12610,susanelliott,Susan Elliott,2014-01-18 02:58:43 +0100,2019-05-16 02:48:22 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/503578,https://inaturalist-open-data.s3.amazonaws.com/photos/641022/medium.jpg,,"","",1,0,false,,"Charlie Lake Provincial Park, British Columbia",56.313966,-120.996981,294,,,,294,,,false,,,red baneberry,Actaea rubra,red baneberry,Plantae,49870,Tracheophyta,Ranunculales,Ranunculaceae,Actaea,Actaea rubra
544050,2012-06-13,2012-06-13,,Eastern Time (US & Canada),18303,marvelliott,Marv Elliott,2014-02-26 01:49:33 +0100,2018-03-13 15:07:48 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/544050,https://inaturalist-open-data.s3.amazonaws.com/photos/691731/medium.jpg,,"","",3,0,false,,"Charlie Lake Provincial Park, British Columbia",56.306563,-120.987175,73,,,,73,,open,false,,,White-winged Crossbill,Loxia leucoptera,White-winged Crossbill,Aves,10423,Chordata,Passeriformes,Fringillidae,Loxia,Loxia leucoptera
544061,2012-06-13,2012-06-13,,Eastern Time (US & Canada),18303,marvelliott,Marv Elliott,2014-02-26 01:52:48 +0100,2014-10-20 16:13:22 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/544061,https://inaturalist-open-data.s3.amazonaws.com/photos/691744/medium.jpg,,"","",1,0,false,,"Charlie Lake Provincial Park, British Columbia",56.30611,-120.985973,73,,,,73,,open,false,,,Spotted Sandpiper,Actitis macularius,Spotted Sandpiper,Aves,72458,Chordata,Charadriiformes,Scolopacidae,Actitis,Actitis macularius
544064,2012-06-13,2012-06-13,,Eastern Time (US & Canada),18303,marvelliott,Marv Elliott,2014-02-26 01:56:27 +0100,2018-06-22 02:23:17 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/544064,https://inaturalist-open-data.s3.amazonaws.com/photos/691747/medium.jpg,,"","",2,0,false,,"Charlie Lake Provincial Park, British Columbia",56.314728,-120.990415,147,,,,147,,open,false,,,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Chordata,Carnivora,Ursidae,Ursus,Ursus americanus
569790,2012-06-13,2012-06-13,,Eastern Time (US & Canada),18303,marvelliott,Marv Elliott,2014-03-15 21:56:36 +0100,2018-04-13 15:04:36 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/569790,https://inaturalist-open-data.s3.amazonaws.com/photos/724433/medium.jpg,,"","",2,0,false,,"Charlie Lake Provincial Park, British Columbia",56.314708,-120.992447,294,,,,294,,open,false,,,Yellow Warbler,Setophaga petechia,Yellow Warbler,Aves,145238,Chordata,Passeriformes,Parulidae,Setophaga,Setophaga petechia
569802,2012-06-13,2012-06-13,,Eastern Time (US & Canada),18303,marvelliott,Marv Elliott,2014-03-15 22:06:35 +0100,2020-03-21 23:26:30 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/569802,https://inaturalist-open-data.s3.amazonaws.com/photos/724451/medium.jpg,,"","",4,0,false,,"Charlie Lake Provincial Park, British Columbia",56.313375,-120.992276,294,,,,294,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727,Chordata,Passeriformes,Turdidae,Turdus,Turdus migratorius
569806,2012-06-13,2012-06-13,,Eastern Time (US & Canada),18303,marvelliott,Marv Elliott,2014-03-15 22:07:56 +0100,2014-10-20 17:17:19 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/569806,https://inaturalist-open-data.s3.amazonaws.com/photos/724455/medium.jpg,,"","",2,0,false,,"Charlie Lake Provincial Park, British Columbia",56.313375,-120.992276,294,,,,294,,open,false,,,Brown-headed Cowbird,Molothrus ater,Brown-headed Cowbird,Aves,10373,Chordata,Passeriformes,Icteridae,Molothrus,Molothrus ater
569807,2012-06-13,2012-06-13,,Eastern Time (US & Canada),18303,marvelliott,Marv Elliott,2014-03-15 22:09:16 +0100,2021-06-29 18:30:50 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/569807,https://inaturalist-open-data.s3.amazonaws.com/photos/724456/medium.jpg,,"","",2,0,false,,"Charlie Lake Provincial Park, British Columbia",56.313375,-120.992276,294,,,,294,,,false,,,papillon tigré du Canada,Papilio canadensis,Canadian Tiger Swallowtail,Insecta,57463,Arthropoda,Lepidoptera,Papilionidae,Papilio,Papilio canadensis
