id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
4456345,2015/08/04,2015-08-04,,Pacific Time (US & Canada),147592,bridgetspencer,Bridget Spencer,2016-10-29 18:35:55 +0100,2017-04-27 03:04:44 +0100,research,CC-BY-NC,http://www.inaturalist.org/observations/4456345,https://inaturalist-open-data.s3.amazonaws.com/photos/5370369/medium.jpg,,"",,3,0,false,,"Fintry Provincial Park, BC, Canada",50.137029961,-119.5067882538,122,,,,122,,open,false,,,Vencejo de Vaux,Chaetura vauxi,Vaux's Swift,Aves,6557,Chordata,Caprimulgiformes,Apodidae,Chaetura,Chaetura vauxi
12645023,Sun May 20 2018 09:18:09 GMT-0700 (PDT),2018-05-20,2018-05-20 17:18:09 +0100,Pacific Time (US & Canada),663585,kaspieva,,2018-05-20 18:15:06 +0100,2022-09-11 23:42:52 +0100,needs_id,,https://www.inaturalist.org/observations/12645023,https://static.inaturalist.org/photos/18292917/medium.jpg,,"",,2,0,false,3,"Fintry, CA-BC-CO, CA-BC, CA",50.1162924059,-119.5129593463,30,,,,30,,,false,,,Paintbrushes,Castilleja,Paintbrushes,Plantae,49340,Tracheophyta,Lamiales,Orobanchaceae,Castilleja,
13380106,Tue Jun 12 2018 17:01:41 GMT-0700 (PDT),2018-06-12,2018-06-13 01:01:41 +0100,Pacific Time (US & Canada),996264,dangauthier,,2018-06-13 01:02:24 +0100,2018-06-13 02:57:34 +0100,research,,https://www.inaturalist.org/observations/13380106,https://static.inaturalist.org/photos/19619537/medium.jpg,,"",,1,0,false,3,"Fintry Provincial Park and Protected Area, Central Okanagan, BC, CA",50.140121097,-119.4947019695,24,,,,24,,,false,,,sulphur cinquefoil,Potentilla recta,sulphur cinquefoil,Plantae,62211,Tracheophyta,Rosales,Rosaceae,Potentilla,Potentilla recta
13380310,Tue Jun 12 2018 17:10:57 GMT-0700 (PDT),2018-06-12,2018-06-13 01:10:57 +0100,Pacific Time (US & Canada),996264,dangauthier,,2018-06-13 01:11:44 +0100,2021-09-11 05:58:42 +0100,research,,https://www.inaturalist.org/observations/13380310,https://static.inaturalist.org/photos/19619942/medium.jpg,,"",,2,0,false,3,"Fintry Provincial Park and Protected Area, Central Okanagan, BC, CA",50.1402783836,-119.4942852218,6,,,,6,,,false,,,Philadelphia fleabane,Erigeron philadelphicus,Philadelphia fleabane,Plantae,67820,Tracheophyta,Asterales,Asteraceae,Erigeron,Erigeron philadelphicus
13380350,Tue Jun 12 2018 17:12:05 GMT-0700 (PDT),2018-06-12,2018-06-13 01:12:05 +0100,Pacific Time (US & Canada),996264,dangauthier,,2018-06-13 01:13:06 +0100,2018-06-14 06:34:46 +0100,research,,https://www.inaturalist.org/observations/13380350,https://static.inaturalist.org/photos/19620027/medium.jpg,,"",,2,0,false,3,"Fintry Provincial Park and Protected Area, Central Okanagan, BC, CA",50.1404464737,-119.4945427099,6,,,,6,,,false,,,white spirea,Spiraea betulifolia,Birch-leaved Spirea,Plantae,84724,Tracheophyta,Rosales,Rosaceae,Spiraea,Spiraea betulifolia
13380372,Tue Jun 12 2018 17:13:43 GMT-0700 (PDT),2018-06-12,2018-06-13 01:13:43 +0100,Pacific Time (US & Canada),996264,dangauthier,,2018-06-13 01:13:50 +0100,2018-06-14 05:54:15 +0100,research,,https://www.inaturalist.org/observations/13380372,https://static.inaturalist.org/photos/19620065/medium.jpg,,"",,2,0,false,3,"Fintry Provincial Park and Protected Area, Central Okanagan, BC, CA",50.1405605448,-119.4947756639,6,,,,6,,,false,,,Common Snowberry,Symphoricarpos albus,Common Snowberry,Plantae,48523,Tracheophyta,Dipsacales,Caprifoliaceae,Symphoricarpos,Symphoricarpos albus
13397502,Wed Jun 13 2018 09:54:27 GMT-0700 (PDT),2018-06-13,2018-06-13 17:54:27 +0100,Pacific Time (US & Canada),996264,dangauthier,,2018-06-13 17:55:05 +0100,2020-02-17 13:45:33 +0100,research,,https://www.inaturalist.org/observations/13397502,https://static.inaturalist.org/photos/19650996/medium.jpg,,"",,0,0,false,3,"Fintry Provincial Park and Protected Area, Central Okanagan, BC, CA",50.14032757,-119.4948937998,16,,,,16,,,false,,,Икотник серо-зелёный,Berteroa incana,hoary alyssum,Plantae,75762,Tracheophyta,Brassicales,Brassicaceae,Berteroa,Berteroa incana
13399203,Wed Jun 13 2018 10:45:32 GMT-0700 (PDT),2018-06-13,2018-06-13 18:45:32 +0100,Pacific Time (US & Canada),996264,dangauthier,,2018-06-13 18:45:43 +0100,2018-06-13 19:26:43 +0100,research,,https://www.inaturalist.org/observations/13399203,https://static.inaturalist.org/photos/19653841/medium.jpg,,"",,1,0,false,3,"Fintry Provincial Park and Protected Area, Central Okanagan, BC, CA",50.1369729525,-119.5036282518,6,,,,6,,,false,,,Yellow-bellied Marmot,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,46086,Chordata,Rodentia,Sciuridae,Marmota,Marmota flaviventris
13399493,Wed Jun 13 2018 10:56:15 GMT-0700 (PDT),2018-06-13,2018-06-13 18:56:15 +0100,Pacific Time (US & Canada),996264,dangauthier,,2018-06-13 18:56:57 +0100,2020-12-24 20:17:51 +0100,research,,https://www.inaturalist.org/observations/13399493,https://static.inaturalist.org/photos/19655556/medium.jpg,,"",,1,0,false,3,"Fintry Provincial Park and Protected Area, Central Okanagan, BC, CA",50.1371177323,-119.5060759077,12,,,,12,,,false,,,parsnipflower buckwheat,Eriogonum heracleoides,parsnipflower buckwheat,Plantae,54897,Tracheophyta,Caryophyllales,Polygonaceae,Eriogonum,Eriogonum heracleoides
13402633,Wed Jun 13 2018 11:29:13 GMT-0700 (PDT),2018-06-13,2018-06-13 19:29:13 +0100,Pacific Time (US & Canada),996264,dangauthier,,2018-06-13 21:00:52 +0100,2021-06-01 20:31:17 +0100,research,,https://www.inaturalist.org/observations/13402633,https://static.inaturalist.org/photos/19659296/medium.jpg,,"",,1,0,false,3,"Fintry Provincial Park and Protected Area, Central Okanagan, BC, CA",50.1388938637,-119.5039057376,32,,,,32,,,false,,,Lewis' mock orange,Philadelphus lewisii,Lewis' mock orange,Plantae,62223,Tracheophyta,Cornales,Hydrangeaceae,Philadelphus,Philadelphus lewisii
