id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
6491678,2017-06-03 2:03:44 PM PDT,2017-06-03,2017-06-03 22:03:44 +0100,Pacific Time (US & Canada),483413,eamonrs,Eamon Riordan-Short,2017-06-04 11:16:57 +0100,2020-06-17 21:03:09 +0100,needs_id,,https://www.inaturalist.org/observations/6491678,https://static.inaturalist.org/photos/8213624/medium.jpeg,,"",,0,0,false,2,"Kalamalka Lake, CA-BC-NO, CA-BC, CA",50.2059440613,-119.2473602295,,,,,,,,false,gps,gps,Butterflies and Moths,Lepidoptera,Butterflies and Moths,Insecta,47157,Arthropoda,Lepidoptera,,,
7661222,2015/04/11 4:03 PM PDT,2015-04-11,2015-04-12 00:03:00 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2017-08-26 20:06:29 +0100,2021-10-10 17:39:42 +0100,research,CC0,https://www.inaturalist.org/observations/7661222,https://inaturalist-open-data.s3.amazonaws.com/photos/10028974/medium.jpg,,"",,2,0,false,,"North Okanagan, BC, Canada",50.2131277471,-119.2460560799,314,,,,314,,,false,,,arrowleaf balsamroot,Balsamorhiza sagittata,arrowleaf balsamroot,Plantae,62266,Tracheophyta,Asterales,Asteraceae,Balsamorhiza,Balsamorhiza sagittata
7708852,2017/04/29 5:53 PM -0700,2017-04-29,2017-04-30 01:53:00 +0100,Arizona,551752,malreux,,2017-08-30 01:55:10 +0100,2021-07-05 18:44:24 +0100,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7708852,https://inaturalist-open-data.s3.amazonaws.com/photos/10107783/medium.jpg,,"",,0,0,false,,"North Okanagan, BC, Canada",50.2123940225,-119.2450904846,244,,,,244,,,false,,,Short-winged Blister Beetle,Meloe angusticollis,Short-winged Blister Beetle,Insecta,69908,Arthropoda,Coleoptera,Meloidae,Meloe,Meloe angusticollis
7840946,1996/04/17 11:37 PM EDT,1996-04-17,1996-04-18 04:37:00 +0100,Eastern Time (US & Canada),533871,burke_korol,J. Burke Korol,2017-09-09 04:38:38 +0100,2017-09-09 04:38:39 +0100,casual,CC-BY-NC,https://www.inaturalist.org/observations/7840946,,,"",,0,0,false,,"North Okanagan, BC, Canada",50.2016553386,-119.2841499513,500,,,,500,,,false,,,Yellow-bellied Marmot,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,46086,Chordata,Rodentia,Sciuridae,Marmota,Marmota flaviventris
8311934,Sat Oct 07 2017 14:52:47 GMT-0700 (PDT),2017-10-07,2017-10-07 22:52:47 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2017-10-08 17:48:17 +0100,2021-10-10 17:41:19 +0100,research,CC0,https://www.inaturalist.org/observations/8311934,https://inaturalist-open-data.s3.amazonaws.com/photos/11035967/medium.jpg,,"",,2,0,false,3,"Kalamalka Lake Protected Area, , BC, CA",50.181975,-119.2743916667,,,,,,,,false,,,Wolf Lichen,Letharia vulpina,wolf lichen,Fungi,54613,Ascomycota,Lecanorales,Parmeliaceae,Letharia,Letharia vulpina
9078047,1996-05-15,1996-05-15,,Eastern Time (US & Canada),533871,burke_korol,J. Burke Korol,2017-12-07 19:19:25 +0100,2020-04-12 17:46:47 +0100,casual,CC-BY-NC,https://www.inaturalist.org/observations/9078047,,,"","",0,0,false,,Kalamalka Lake PP,50.204374,-119.267063,1296,,,,1296,,,false,,manual,spreadingpod rockcress,Boechera divaricarpa,spreadingpod rockcress,Plantae,75788,Tracheophyta,Brassicales,Brassicaceae,Boechera,Boechera divaricarpa
9078048,1996-05-15,1996-05-15,,Eastern Time (US & Canada),533871,burke_korol,J. Burke Korol,2017-12-07 19:19:26 +0100,2017-12-07 19:19:26 +0100,casual,CC-BY-NC,https://www.inaturalist.org/observations/9078048,,,"","",0,0,false,,Kalamalka Lake PP,50.204374,-119.267063,1296,,,,1296,,,false,,manual,Clematis occidentalis,Clematis occidentalis,Purple Clematis,Plantae,117512,Tracheophyta,Ranunculales,Ranunculaceae,Clematis,Clematis occidentalis
9078050,1996-05-15,1996-05-15,,Eastern Time (US & Canada),533871,burke_korol,J. Burke Korol,2017-12-07 19:19:27 +0100,2020-09-21 20:25:05 +0100,casual,CC-BY-NC,https://www.inaturalist.org/observations/9078050,,,"","",0,0,false,,Kalamalka Lake PP,50.204374,-119.267063,1296,,,,1296,,,false,,manual,Black Hawthorn,Crataegus douglasii,Black Hawthorn,Plantae,76469,Tracheophyta,Rosales,Rosaceae,Crataegus,Crataegus douglasii
9078051,1996-05-15,1996-05-15,,Eastern Time (US & Canada),533871,burke_korol,J. Burke Korol,2017-12-07 19:19:28 +0100,2017-12-07 19:19:28 +0100,casual,CC-BY-NC,https://www.inaturalist.org/observations/9078051,,,"","",0,0,false,,Kalamalka Lake PP,50.204374,-119.267063,1296,,,,1296,,,false,,manual,Geum triflorum,Geum triflorum,prairie smoke,Plantae,57460,Tracheophyta,Rosales,Rosaceae,Geum,Geum triflorum
9078052,1996-05-15,1996-05-15,,Eastern Time (US & Canada),533871,burke_korol,J. Burke Korol,2017-12-07 19:19:28 +0100,2017-12-07 19:19:28 +0100,casual,CC-BY-NC,https://www.inaturalist.org/observations/9078052,,,"","",0,0,false,,Kalamalka Lake PP,50.204374,-119.267063,1296,,,,1296,,,false,,manual,Holodiscus discolor,Holodiscus discolor,Ocean spray,Plantae,53414,Tracheophyta,Rosales,Rosaceae,Holodiscus,Holodiscus discolor
