id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
21292802,Sat Mar 16 2019 11:03:06 GMT-0700 (PDT),2019-03-16,2019-03-16 19:03:06 +0100,Pacific Time (US & Canada),309220,carita,Carita Bergman,2019-03-16 20:06:09 +0100,2019-03-19 15:14:36 +0100,research,CC-BY,https://www.inaturalist.org/observations/21292802,https://inaturalist-open-data.s3.amazonaws.com/photos/32924337/medium.jpg,,"",3 of them present,2,0,false,3,"Lakelse Lake Provincial Park, , BC, CA",54.414305,-128.5370033333,5,,,,5,,open,false,,,North American River Otter,Lontra canadensis,North American River Otter,Mammalia,41777,Chordata,Carnivora,Mustelidae,Lontra,Lontra canadensis
21293039,Sat Mar 16 2019 10:33:19 GMT-0700 (PDT),2019-03-16,2019-03-16 18:33:19 +0100,Pacific Time (US & Canada),309220,carita,Carita Bergman,2019-03-16 20:12:43 +0100,2019-03-16 20:13:22 +0100,needs_id,CC-BY,https://www.inaturalist.org/observations/21293039,https://inaturalist-open-data.s3.amazonaws.com/photos/32924707/medium.jpg,,"",,0,0,false,3,"Lakelse Lake Provincial Park, , BC, CA",54.42133,-128.533905,10,,,,10,,,false,,,,Trentepohlia,,Plantae,68611,Chlorophyta,Trentepohliales,Trentepohliaceae,Trentepohlia,
21293157,Sat Mar 16 2019 10:59:41 GMT-0700 (PDT),2019-03-16,2019-03-16 18:59:41 +0100,Pacific Time (US & Canada),309220,carita,Carita Bergman,2019-03-16 20:16:43 +0100,2022-01-27 18:28:28 +0100,needs_id,CC-BY,https://www.inaturalist.org/observations/21293157,https://inaturalist-open-data.s3.amazonaws.com/photos/32924951/medium.jpg,,"","Didn’t expect to find this here, several trees. Not sure...",3,0,false,3,"Lakelse Lake Provincial Park, , BC, CA",54.4149966667,-128.5366533333,30,,,,30,,open,false,,,birches,Betula,birches,Plantae,49156,Tracheophyta,Fagales,Betulaceae,Betula,
21293289,Sat Mar 16 2019 11:02:08 GMT-0700 (PDT),2019-03-16,2019-03-16 19:02:08 +0100,Pacific Time (US & Canada),309220,carita,Carita Bergman,2019-03-16 20:21:04 +0100,2022-01-02 03:30:35 +0100,research,CC-BY,https://www.inaturalist.org/observations/21293289,https://inaturalist-open-data.s3.amazonaws.com/photos/32925215/medium.jpg,,"",,1,0,false,3,"Lakelse Lake Provincial Park, , BC, CA",54.4148116667,-128.53723,30,,,,30,,open,false,,,paper birch,Betula papyrifera,paper birch,Plantae,49883,Tracheophyta,Fagales,Betulaceae,Betula,Betula papyrifera
21293299,Sat Mar 16 2019 11:20:49 GMT-0700 (PDT),2019-03-16,2019-03-16 19:20:49 +0100,Pacific Time (US & Canada),309220,carita,Carita Bergman,2019-03-16 20:21:20 +0100,2019-03-16 20:28:16 +0100,needs_id,CC-BY,https://www.inaturalist.org/observations/21293299,https://inaturalist-open-data.s3.amazonaws.com/photos/32925236/medium.jpg,,"",,0,0,false,3,"Lakelse Lake Provincial Park, , BC, CA",54.4198498981,-128.5379671535,167,,,,167,,,false,,,,Alectoria sarmentosa,Witch's Hair,Fungi,126626,Ascomycota,Lecanorales,Parmeliaceae,Alectoria,Alectoria sarmentosa
21293460,Sat Mar 16 2019 10:40:50 GMT-0700 (PDT),2019-03-16,2019-03-16 18:40:50 +0100,Pacific Time (US & Canada),309220,carita,Carita Bergman,2019-03-16 20:26:17 +0100,2019-03-18 17:19:31 +0100,research,CC-BY,https://www.inaturalist.org/observations/21293460,https://inaturalist-open-data.s3.amazonaws.com/photos/32925535/medium.jpg,,"",,2,0,false,3,"Lakelse Lake Provincial Park, , BC, CA",54.4206049155,-128.535128435,20,,,,20,,open,false,,,American Dipper,Cinclus mexicanus,American Dipper,Aves,7643,Chordata,Passeriformes,Cinclidae,Cinclus,Cinclus mexicanus
21293484,Sat Mar 16 2019 10:40:10 GMT-0700 (PDT),2019-03-16,2019-03-16 18:40:10 +0100,Pacific Time (US & Canada),309220,carita,Carita Bergman,2019-03-16 20:27:23 +0100,2019-03-16 20:27:50 +0100,needs_id,CC-BY,https://www.inaturalist.org/observations/21293484,https://inaturalist-open-data.s3.amazonaws.com/photos/32925616/medium.jpg,,"",,0,0,false,3,"Lakelse Lake Provincial Park, , BC, CA",54.4207,-128.5352633333,5,,,,5,,,false,,,,Hypogymnia,Tube Lichens,Fungi,117988,Ascomycota,Lecanorales,Parmeliaceae,Hypogymnia,
21293546,Sat Mar 16 2019 10:35:17 GMT-0700 (PDT),2019-03-16,2019-03-16 18:35:17 +0100,Pacific Time (US & Canada),309220,carita,Carita Bergman,2019-03-16 20:30:01 +0100,2019-03-16 20:30:36 +0100,needs_id,CC-BY,https://www.inaturalist.org/observations/21293546,https://inaturalist-open-data.s3.amazonaws.com/photos/32925750/medium.jpg,,"",,0,0,false,3,"Lakelse Lake Provincial Park, , BC, CA",54.4212383333,-128.53363,10,,,,10,,open,false,,,,Parmelia squarrosa,Bottlebrush Shield Lichen,Fungi,125728,Ascomycota,Lecanorales,Parmeliaceae,Parmelia,Parmelia squarrosa
21293566,Sat Mar 16 2019 10:35:52 GMT-0700 (PDT),2019-03-16,2019-03-16 18:35:52 +0100,Pacific Time (US & Canada),309220,carita,Carita Bergman,2019-03-16 20:30:40 +0100,2019-03-16 20:31:00 +0100,needs_id,CC-BY,https://www.inaturalist.org/observations/21293566,https://inaturalist-open-data.s3.amazonaws.com/photos/32925778/medium.jpg,,"",,0,0,false,3,"Lakelse Lake Provincial Park, , BC, CA",54.4209133333,-128.5342866667,10,,,,10,,,false,,,,Platismatia glauca,Varied Rag Lichen,Fungi,117874,Ascomycota,Lecanorales,Parmeliaceae,Platismatia,Platismatia glauca
21293581,Sat Mar 16 2019 11:12:03 GMT-0700 (PDT),2019-03-16,2019-03-16 19:12:03 +0100,Pacific Time (US & Canada),309220,carita,Carita Bergman,2019-03-16 20:31:25 +0100,2019-03-16 20:53:36 +0100,needs_id,CC-BY,https://www.inaturalist.org/observations/21293581,https://inaturalist-open-data.s3.amazonaws.com/photos/32925822/medium.jpg,,"",Warts caused by a fungus? On alder,0,0,false,3,"Lakelse Lake Provincial Park, , BC, CA",54.4163133333,-128.53792,10,,,,10,,,false,,,,Fungi,Fungi Including Lichens,Fungi,47170,,,,,
21293597,Sat Mar 16 2019 10:42:48 GMT-0700 (PDT),2019-03-16,2019-03-16 18:42:48 +0100,Pacific Time (US & Canada),309220,carita,Carita Bergman,2019-03-16 20:31:55 +0100,2019-03-16 20:32:38 +0100,needs_id,CC-BY,https://www.inaturalist.org/observations/21293597,https://inaturalist-open-data.s3.amazonaws.com/photos/32925871/medium.jpg,,"",,0,0,false,3,"Lakelse Lake Provincial Park, , BC, CA",54.420605,-128.5355083333,10,,,,10,,,false,,,,Ganoderma applanatum,artist's bracket,Fungi,48473,Basidiomycota,Polyporales,Polyporaceae,Ganoderma,Ganoderma applanatum
