id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
13322248,Sun Jun 03 2018 08:07:42 GMT-0700 (PDT),2018-06-03,2018-06-03 16:07:42 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2018-06-11 03:40:42 +0100,2018-06-12 23:56:56 +0100,research,CC0,https://www.inaturalist.org/observations/13322248,https://inaturalist-open-data.s3.amazonaws.com/photos/19515705/medium.jpg,,"",,1,0,false,3,"Marble Canyon Provincial Park, , BC, CA",50.8323383333,-121.690705,30,,,,30,,,false,,,black medick,Medicago lupulina,Black Medick,Plantae,57056,Tracheophyta,Fabales,Fabaceae,Medicago,Medicago lupulina
13322265,Sat Jun 02 2018 18:24:46 GMT-0700 (PDT),2018-06-02,2018-06-03 02:24:46 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2018-06-11 03:41:42 +0100,2018-06-11 03:42:22 +0100,needs_id,CC0,https://www.inaturalist.org/observations/13322265,https://inaturalist-open-data.s3.amazonaws.com/photos/19515739/medium.jpg,,"",,0,0,false,3,"Marble Canyon Provincial Park, , BC, CA",50.833205,-121.6898283333,5,,,,5,,,false,,,,Erigeron,fleabanes and horseweeds,Plantae,50879,Tracheophyta,Asterales,Asteraceae,Erigeron,
13322303,Sat Jun 02 2018 19:26:08 GMT-0700 (PDT),2018-06-02,2018-06-03 03:26:08 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2018-06-11 03:43:09 +0100,2018-06-11 03:43:54 +0100,needs_id,CC0,https://www.inaturalist.org/observations/13322303,https://inaturalist-open-data.s3.amazonaws.com/photos/19515812/medium.jpg,,"",,0,0,false,3,"Marble Canyon Provincial Park, , BC, CA",50.832805,-121.691375,30,,,,30,,,false,,,,Brassicaceae,mustard family,Plantae,47204,Tracheophyta,Brassicales,Brassicaceae,,
13322325,Sat Jun 02 2018 18:27:51 GMT-0700 (PDT),2018-06-02,2018-06-03 02:27:51 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2018-06-11 03:43:55 +0100,2018-06-11 03:44:12 +0100,needs_id,CC0,https://www.inaturalist.org/observations/13322325,https://inaturalist-open-data.s3.amazonaws.com/photos/19515826/medium.jpg,,"",,0,0,false,3,"Marble Canyon Provincial Park, , BC, CA",50.8325616667,-121.690405,10,,,,10,,,false,,,,Poaceae,grasses,Plantae,47434,Tracheophyta,Poales,Poaceae,,
13344095,2018/06/02 6:24 PM PDT,2018-06-02,2018-06-03 02:24:00 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2018-06-11 21:46:24 +0100,2019-04-08 09:18:18 +0100,research,CC0,https://www.inaturalist.org/observations/13344095,https://inaturalist-open-data.s3.amazonaws.com/photos/19551134/medium.jpg,,"",,1,0,false,,"Marble Canyon, Thompson-Nicola, British Columbia, Canada",50.8331972222,-121.6898111111,5,,,,5,,,false,,,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072,Tracheophyta,Rosales,Elaeagnaceae,Shepherdia,Shepherdia canadensis
13344096,2018/06/02 6:14 PM PDT,2018-06-02,2018-06-03 02:14:00 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2018-06-11 21:46:24 +0100,2018-06-11 21:46:25 +0100,needs_id,CC0,https://www.inaturalist.org/observations/13344096,https://inaturalist-open-data.s3.amazonaws.com/photos/19551144/medium.jpg,,"",,0,0,false,,"Marble Canyon, Thompson-Nicola, British Columbia, Canada",50.8333555556,-121.6887055556,5,,,,5,,,false,,,Wolf Lichens,Letharia,Wolf Lichens,Fungi,54623,Ascomycota,Lecanorales,Parmeliaceae,Letharia,
13344099,2018/06/02 6:03 PM PDT,2018-06-02,2018-06-03 02:03:00 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2018-06-11 21:46:27 +0100,2020-05-09 01:05:55 +0100,research,CC0,https://www.inaturalist.org/observations/13344099,https://inaturalist-open-data.s3.amazonaws.com/photos/19551207/medium.jpg,,"",,1,0,false,,"Thompson-Nicola, BC, Canada",50.8336361111,-121.6896583333,10,,,,10,,,false,,,western stoneseed,Lithospermum ruderale,western stoneseed,Plantae,77795,Tracheophyta,Boraginales,Boraginaceae,Lithospermum,Lithospermum ruderale
13344103,2018/06/02 5:54 PM PDT,2018-06-02,2018-06-03 01:54:00 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2018-06-11 21:46:29 +0100,2021-01-08 16:44:58 +0100,research,CC0,https://www.inaturalist.org/observations/13344103,https://inaturalist-open-data.s3.amazonaws.com/photos/19551287/medium.jpg,,"",,2,0,false,,"Thompson-Nicola, BC, Canada",50.833,-121.6900333333,5,,,,5,,,false,,,bearberry,Arctostaphylos uva-ursi,bearberry,Plantae,68049,Tracheophyta,Ericales,Ericaceae,Arctostaphylos,Arctostaphylos uva-ursi
13344108,2018/06/03 8:07 AM PDT,2018-06-03,2018-06-03 16:07:00 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2018-06-11 21:46:32 +0100,2019-08-06 07:42:36 +0100,research,CC0,https://www.inaturalist.org/observations/13344108,https://inaturalist-open-data.s3.amazonaws.com/photos/19551362/medium.jpg,,"",,2,0,false,,"Thompson-Nicola, BC, Canada",50.8323388889,-121.6907055556,30,,,,30,,,false,,,black medick,Medicago lupulina,Black Medick,Plantae,57056,Tracheophyta,Fabales,Fabaceae,Medicago,Medicago lupulina
13344133,2018/06/02 5:49 PM PDT,2018-06-02,2018-06-03 01:49:00 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2018-06-11 21:46:41 +0100,2021-01-07 05:45:41 +0100,research,CC0,https://www.inaturalist.org/observations/13344133,https://inaturalist-open-data.s3.amazonaws.com/photos/19551495/medium.jpg,,"",,2,0,false,,"Thompson-Nicola, BC, Canada",50.8326333333,-121.6906361111,10,,,,10,,,false,,,bearberry,Arctostaphylos uva-ursi,bearberry,Plantae,68049,Tracheophyta,Ericales,Ericaceae,Arctostaphylos,Arctostaphylos uva-ursi
13344156,2018/06/02 5:50 PM PDT,2018-06-02,2018-06-03 01:50:00 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2018-06-11 21:46:49 +0100,2019-04-08 09:17:24 +0100,needs_id,CC0,https://www.inaturalist.org/observations/13344156,https://inaturalist-open-data.s3.amazonaws.com/photos/19551587/medium.jpg,,"",,2,0,false,,"Thompson-Nicola, BC, Canada",50.8326527778,-121.6905972222,5,,,,5,,,false,,,dicots,Magnoliopsida,dicots,Plantae,47124,Tracheophyta,,,,
13344172,2018/06/02 6:15 PM PDT,2018-06-02,2018-06-03 02:15:00 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2018-06-11 21:46:55 +0100,2021-10-18 16:40:34 +0100,research,CC0,https://www.inaturalist.org/observations/13344172,https://inaturalist-open-data.s3.amazonaws.com/photos/19551664/medium.jpg,,"",,1,0,false,,"Thompson-Nicola, BC, Canada",50.8333055556,-121.6885138889,5,,,,5,,,false,,,Cutleaf Anemone,Anemone multifida,Cutleaf Anemone,Plantae,75442,Tracheophyta,Ranunculales,Ranunculaceae,Anemone,Anemone multifida
13344181,2018/06/02 5:58 PM PDT,2018-06-02,2018-06-03 01:58:00 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2018-06-11 21:46:58 +0100,2019-07-02 22:43:59 +0100,research,CC0,https://www.inaturalist.org/observations/13344181,https://inaturalist-open-data.s3.amazonaws.com/photos/19551712/medium.jpg,,"",,2,0,false,,"Thompson-Nicola, BC, Canada",50.8332527778,-121.6899111111,5,,,,5,,,false,,,alfalfa,Medicago sativa,Alfalfa,Plantae,57057,Tracheophyta,Fabales,Fabaceae,Medicago,Medicago sativa
13344233,2018/06/02 5:53 PM PDT,2018-06-02,2018-06-03 01:53:00 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2018-06-11 21:48:02 +0100,2020-12-02 20:23:20 +0100,research,CC0,https://www.inaturalist.org/observations/13344233,https://inaturalist-open-data.s3.amazonaws.com/photos/19551856/medium.jpg,,"",,2,0,false,,"Thompson-Nicola, BC, Canada",50.8328777778,-121.6899722222,5,,,,5,,,false,,,Northern Bedstraw,Galium boreale,Northern Bedstraw,Plantae,77188,Tracheophyta,Gentianales,Rubiaceae,Galium,Galium boreale
13344237,2018/06/02 5:49 PM PDT,2018-06-02,2018-06-03 01:49:00 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2018-06-11 21:48:03 +0100,2019-04-08 09:12:26 +0100,research,CC0,https://www.inaturalist.org/observations/13344237,https://inaturalist-open-data.s3.amazonaws.com/photos/19551874/medium.jpg,,"",,1,0,false,,"Thompson-Nicola, BC, Canada",50.8326194444,-121.6906444444,10,,,,10,,,false,,,bastard toadflax,Comandra umbellata,bastard toadflax,Plantae,59991,Tracheophyta,Santalales,Santalaceae,Comandra,Comandra umbellata
13344263,2018/06/02 6:13 PM PDT,2018-06-02,2018-06-03 02:13:00 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2018-06-11 21:48:17 +0100,2019-04-08 09:11:54 +0100,research,CC0,https://www.inaturalist.org/observations/13344263,https://inaturalist-open-data.s3.amazonaws.com/photos/19552058/medium.jpg,,"",,1,0,false,,"Thompson-Nicola, BC, Canada",50.8333777778,-121.6886833333,5,,,,5,,open,false,,,ponderosa pine,Pinus ponderosa,Ponderosa Pine,Plantae,48461,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus ponderosa
13344266,2018/06/02 5:50 PM PDT,2018-06-02,2018-06-03 01:50:00 +0100,Pacific Time (US & Canada),515751,bstarzomski,Brian Starzomski,2018-06-11 21:48:19 +0100,2019-04-08 09:11:43 +0100,research,CC0,https://www.inaturalist.org/observations/13344266,https://inaturalist-open-data.s3.amazonaws.com/photos/19552109/medium.jpg,,"",,1,0,false,,"Thompson-Nicola, BC, Canada",50.8326527778,-121.6905972222,5,,,,5,,,false,,,western stoneseed,Lithospermum ruderale,western stoneseed,Plantae,77795,Tracheophyta,Boraginales,Boraginaceae,Lithospermum,Lithospermum ruderale
