id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
26552499,Fri Jun 07 2019 08:09:11 GMT-0700 (PDT),2019-06-07,2019-06-07 16:09:11 +0100,Pacific Time (US & Canada),233188,borsope,Pam Borso,2019-06-07 16:09:23 +0100,2022-09-13 21:15:08 +0100,research,CC-BY-NC,https://www.inaturalist.org/observations/26552499,https://inaturalist-open-data.s3.amazonaws.com/photos/41239043/medium.jpg,,"",,2,0,false,3,"Thompson-Nicola I (Blue Sky Country), , BC, CA",50.2524496755,-121.51529409,10,,,,10,,,false,,,redstem ceanothus,Ceanothus sanguineus,redstem ceanothus,Plantae,76197,Tracheophyta,Rosales,Rhamnaceae,Ceanothus,Ceanothus sanguineus
26552650,Fri Jun 07 2019 08:11:58 GMT-0700 (PDT),2019-06-07,2019-06-07 16:11:58 +0100,Pacific Time (US & Canada),233188,borsope,Pam Borso,2019-06-07 16:12:08 +0100,2019-06-07 16:12:08 +0100,casual,CC-BY-NC,https://www.inaturalist.org/observations/26552650,,,"",,0,0,false,3,"Thompson-Nicola I (Blue Sky Country), , BC, CA",50.2524661939,-121.5160658487,69,,,,69,,open,false,,,,Spinus pinus,Pine Siskin,Aves,145304,Chordata,Passeriformes,Fringillidae,Spinus,Spinus pinus
26552661,Fri Jun 07 2019 08:12:13 GMT-0700 (PDT),2019-06-07,2019-06-07 16:12:13 +0100,Pacific Time (US & Canada),233188,borsope,Pam Borso,2019-06-07 16:12:23 +0100,2019-06-07 16:12:23 +0100,casual,CC-BY-NC,https://www.inaturalist.org/observations/26552661,,,"",,0,0,false,3,"Thompson-Nicola I (Blue Sky Country), , BC, CA",50.2524226361,-121.5162005996,65,,,,65,,open,false,,,,Pipilo maculatus,Spotted Towhee,Aves,9420,Chordata,Passeriformes,Passerellidae,Pipilo,Pipilo maculatus
26552683,Fri Jun 07 2019 08:12:27 GMT-0700 (PDT),2019-06-07,2019-06-07 16:12:27 +0100,Pacific Time (US & Canada),233188,borsope,Pam Borso,2019-06-07 16:12:37 +0100,2019-06-07 16:12:38 +0100,casual,CC-BY-NC,https://www.inaturalist.org/observations/26552683,,,"",,0,0,false,3,"Thompson-Nicola I (Blue Sky Country), , BC, CA",50.2523832489,-121.5162697436,5,,,,5,,open,false,,,,Piranga ludoviciana,Western Tanager,Aves,9919,Chordata,Passeriformes,Cardinalidae,Piranga,Piranga ludoviciana
26553079,Fri Jun 07 2019 08:18:09 GMT-0700 (PDT),2019-06-07,2019-06-07 16:18:09 +0100,Pacific Time (US & Canada),233188,borsope,Pam Borso,2019-06-07 16:19:34 +0100,2021-11-16 23:59:02 +0100,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/26553079,https://inaturalist-open-data.s3.amazonaws.com/photos/41240038/medium.jpg,,"",,1,0,false,3,"Thompson-Nicola I (Blue Sky Country), , BC, CA",50.2520638984,-121.5174730496,30,,,,30,,,false,,,Small Pussytoes,Antennaria howellii,Small Pussytoes,Plantae,75463,Tracheophyta,Asterales,Asteraceae,Antennaria,Antennaria howellii
26553184,Fri Jun 07 2019 08:20:43 GMT-0700 (PDT),2019-06-07,2019-06-07 16:20:43 +0100,Pacific Time (US & Canada),233188,borsope,Pam Borso,2019-06-07 16:21:21 +0100,2021-12-30 20:55:55 +0100,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/26553184,https://inaturalist-open-data.s3.amazonaws.com/photos/41240233/medium.jpg,,"",,1,0,false,3,"Thompson-Nicola I (Blue Sky Country), , BC, CA",50.2520463383,-121.5173032322,10,,,,10,,,false,,,Prairie Junegrass,Koeleria macrantha,Prairie Junegrass,Plantae,57183,Tracheophyta,Poales,Poaceae,Koeleria,Koeleria macrantha
26553459,Fri Jun 07 2019 08:24:53 GMT-0700 (PDT),2019-06-07,2019-06-07 16:24:53 +0100,Pacific Time (US & Canada),233188,borsope,Pam Borso,2019-06-07 16:25:15 +0100,2019-06-07 16:25:35 +0100,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/26553459,https://inaturalist-open-data.s3.amazonaws.com/photos/41240621/medium.jpg,,"",,0,0,false,3,"Thompson-Nicola I (Blue Sky Country), , BC, CA",50.2515199129,-121.5177150351,5,,,,5,,,false,,,,Erigeron speciosus,aspen fleabane,Plantae,84732,Tracheophyta,Asterales,Asteraceae,Erigeron,Erigeron speciosus
26553608,Fri Jun 07 2019 08:27:23 GMT-0700 (PDT),2019-06-07,2019-06-07 16:27:23 +0100,Pacific Time (US & Canada),233188,borsope,Pam Borso,2019-06-07 16:27:51 +0100,2019-06-07 16:29:43 +0100,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/26553608,https://inaturalist-open-data.s3.amazonaws.com/photos/41240870/medium.jpg,,"",,0,0,false,3,"Thompson-Nicola I (Blue Sky Country), , BC, CA",50.2512222296,-121.5173852072,10,,,,10,,,false,,,,Phragmidium,,Fungi,205077,Basidiomycota,Pucciniales,Phragmidiaceae,Phragmidium,
26553746,Fri Jun 07 2019 08:30:08 GMT-0700 (PDT),2019-06-07,2019-06-07 16:30:08 +0100,Pacific Time (US & Canada),233188,borsope,Pam Borso,2019-06-07 16:30:21 +0100,2019-06-23 20:47:37 +0100,research,CC-BY-NC,https://www.inaturalist.org/observations/26553746,https://inaturalist-open-data.s3.amazonaws.com/photos/41241069/medium.jpg,,"",,1,0,false,3,"Thompson-Nicola I (Blue Sky Country), , BC, CA",50.2508978919,-121.5176737962,5,,,,5,,,false,,,white spirea,Spiraea betulifolia,Birch-leaved Spirea,Plantae,84724,Tracheophyta,Rosales,Rosaceae,Spiraea,Spiraea betulifolia
26553836,Fri Jun 07 2019 08:31:22 GMT-0700 (PDT),2019-06-07,2019-06-07 16:31:22 +0100,Pacific Time (US & Canada),233188,borsope,Pam Borso,2019-06-07 16:31:37 +0100,2019-06-07 16:31:37 +0100,casual,CC-BY-NC,https://www.inaturalist.org/observations/26553836,,,"",,0,0,false,3,"Thompson-Nicola I (Blue Sky Country), , BC, CA",50.2505968766,-121.5178382195,484,,,,484,,open,false,,,,Bonasa umbellus,Ruffed Grouse,Aves,890,Chordata,Galliformes,Phasianidae,Bonasa,Bonasa umbellus
