kingdom,phylum,subphylum,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,zoosection,zoosubsection,superfamily,epifamily,family,subfamily,supertribe,tribe,subtribe,genus,subgenus,section,subsection,complex,taxon_name,description,occurrence_status,establishment_means,adding_user_login,first_observation,last_observation,url,created_at,updated_at,taxon_common_name
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Abagrotis,,Abagrotis placida,,,Abagrotis baueri,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519952,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Abagrotis,,Abagrotis cupida,,Abagrotis brunneipennis,Abagrotis brunneipennis,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519953,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Abagrotis,,Abagrotis cupida,,,Abagrotis cupida,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519954,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,Cupid and Greater Red Darts and Allies
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Abagrotis,,Abagrotis placida,,,Abagrotis dickeli,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519955,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Abagrotis,,Abagrotis discoidalis,,,Abagrotis discoidalis,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519956,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Abagrotis,,Abagrotis placida,,,Abagrotis dodi,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519957,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Abagrotis,,Abagrotis discoidalis,,,Abagrotis duanca,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519958,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,Dark Dart
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Abagrotis,,Abagrotis erratica,,,Abagrotis erratica,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519959,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Abagrotis,,Abagrotis cupida,,,Abagrotis forbesi,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519960,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Abagrotis,,Abagrotis mirabilis,,,Abagrotis glenni,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519961,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Abagrotis,,Abagrotis placida,,,Abagrotis hermina,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519962,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Abagrotis,,Abagrotis discoidalis,,,Abagrotis nanalis,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519963,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Abagrotis,,Abagrotis mirabilis,,,Abagrotis nefascia,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519964,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,Coastal Heathland Cutworm Moth
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Abagrotis,,Abagrotis placida,,,Abagrotis orbis,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519965,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,Well-marked Cutworm Moth
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Abagrotis,,Abagrotis mirabilis,,,Abagrotis pulchrata,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519966,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Abagrotis,,Abagrotis placida,,,Abagrotis turbulenta,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519967,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Abagrotis,,Abagrotis placida,,,Abagrotis variata,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519968,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,
Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,,,Caryophyllales,,,,,,,,Nyctaginaceae,,,,,Abronia,,,,,Abronia latifolia,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519969,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,Yellow Sand Verbena
Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,,,Caryophyllales,,,,,,,,Nyctaginaceae,,,,,Abronia,,,,,Abronia umbellata,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519970,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,Pink Sand Verbena
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Plusiinae,,Abrostolini,,Abrostola,,,,,Abrostola urentis,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519971,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,Spectacled Nettle Moth
Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,,,Poecilosclerida,,,,,,,,Hymedesmiidae,,,,,Acanthancora,,,,,Acanthancora cyanocrypta,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519972,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,cobalt sponge
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Geometroidea,,Geometridae,Larentiinae,,Trichopterygini,,Acasis,,,,,Acasis viridata,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519973,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,Olive-and-black Carpet Moth
Plantae,Bryophyta,,,Bryopsida,,,,,Pottiales,,,,,,,,Pottiaceae,,,,,Acaulon,,,,,Acaulon muticum rufescens,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519974,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,
Animalia,Chordata,Vertebrata,,Aves,,,,,Accipitriformes,,,,,,,,Accipitridae,,,,,Accipiter,,,,,Accipiter gentilis atricapillus,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519975,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,American Goshawk
Animalia,Chordata,Vertebrata,,Aves,,,,,Accipitriformes,,,,,,,,Accipitridae,,,,,Accipiter,,,,,Accipiter gentilis laingi,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519976,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,Haida Gwaii Goshawk
Animalia,Chordata,Vertebrata,,Actinopterygii,,,,,Acipenseriformes,,,,,,,,Acipenseridae,,,,,Acipenser,,,,,Acipenser medirostris,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519977,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,Green Sturgeon
Animalia,Chordata,Vertebrata,,Actinopterygii,,,,,Acipenseriformes,,,,,,,,Acipenseridae,,,,,Acipenser,,,,,Acipenser transmontanus,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519978,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,White Sturgeon
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Bryophilinae,,,,Acopa,,,,,Acopa perpallida,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519979,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,
Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,,,Acorales,,,,,,,,Acoraceae,,,,,Acorus,,,,,Acorus americanus,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519980,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,sweetflag
Animalia,Mollusca,,,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,,,,,,,Lymnaeoidea,,Acroloxidae,,,,,Acroloxus,,,,,Acroloxus coloradensis,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519981,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,Rocky Mountain Capshell
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Acronictinae,,,,Acronicta,Simyra,Acronicta insularis,,,Acronicta insularis,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519982,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,Marsh and Reed Daggers
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Acronictinae,,,,Acronicta,Simyra,Acronicta lanceolaria,,,Acronicta lanceolaria,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519983,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,Lanceolate Dagger and Allies
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Acronictinae,,,,Acronicta,Acronicta,Acronicta vulpina,,,Acronicta lepusculina,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519984,2022-01-13 19:36:32 UTC,2022-01-13 19:36:32 UTC,Cottonwood Dagger
