Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
PDMAL020N0,Abutilon theophrasti,velvet-leaf,,SNA (2019),Exotic,GNR,,,,,,
IICOLBT060,Acanthoscelides obtectus,Bean Weevil,,SNA (2017),Exotic,GNR,,,,,,
PDACE01090,Acer negundo,box-elder,,SNA (2019),Exotic,G5 (2016),,,,,,
PDACE010D0,Acer platanoides,Norway maple,,SNA (2019),Exotic,GNR,,,,,,
PDACE010E0,Acer pseudoplatanus,sycamore maple,,SNA (2019),Exotic,GNR,,,,,,
PDACE010F2,Acer rubrum var. rubrum,red maple,,SNA (2019),Exotic,G5T5 (1994),,,,,,
IIORT67010,Acheta domesticus,House Cricket,,SNA (2015),Exotic,GNR,,,,,,
PDAST03010,Achillea filipendulina,fernleaf yarrow,,SNA (2019),Exotic,GNR,,,,,,
PDAST0303G,Achillea millefolium,yarrow,,SNA (2019),Exotic,G5T5? (2003),,,,,,
PDAST03050,Achillea ptarmica,sneezeweed,,SNA (2019),Exotic,GNR,,,,,,
IILER7Z010,Achroia grisella,,,SNA (2017),Exotic,GNR,,,,,,
PDLAM02010,Acinos arvensis,basil-thyme,,SNA (2019),Exotic,G5 (1988),,,,,,
IILEM1T020,Acleris comariana,,,SNA (2017),Exotic,GNR,,,,,,
IILEM1S010,Acleris forsskaleana,,,SNA (2017),Exotic,GNR,,,,,,
IILEM1S050,Acleris holmiana,,,SNA (2017),Exotic,GNR,,,,,,
IILEM1T060,Acleris rhombana,,,SNA (2017),Exotic,GNR,,,,,,
IILEM1T250,Acleris variegana,,,SNA (2017),Exotic,GNR,,,,,,
IICOLQM360,Acritus nigricornis,A Hister Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLRZ640,Acrolocha minuta,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLT1080,Acrotrichis grandicollis,A Water-penny Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOL870C0,Acupalpus meridianus,A Ground Beetle,,SNA (2017),Exotic,GNR,,,,,,
IIHOM3F040,Acyrthosiphon caraganae,,,SNA,Exotic,GNR,,,,,,
IIHOM3F060,Acyrthosiphon lactucae,,,SNA,Exotic,GNR,,,,,,
IIHOM3F120,Acyrthosiphon malvae,,,SNA,Exotic,GNR,,,,,,
IIHOM3F010,Acyrthosiphon pisum,,,SNA,Exotic,GNR,,,,,,
IIHOM21070,Adelges abietis,,,SNA,Exotic,GNR,,,,,,
IIHOM21080,Adelges nordmannianae,,,SNA,Exotic,GNR,,,,,,
IIHOM21020,Adelges piceae,,,SNA,Exotic,GNR,,,,,,
IIHOM21010,Adelges tsugae,,,SNA,Exotic,GNR,,,,,,
IIHEM0V010,Adelphocoris lineolatus,,,SNA,Exotic,GNR,,,,,,
IICOLPF010,Aderus populneus,An Antlike Leaf Beetle,,SNA (2017),Exotic,GNR,,,,,,
IIDIP7H510,Aedes togoi,,,SNA (2017),Exotic,GNR,,,,,,
PMPOA01020,Aegilops cylindrica,jointed goatgrass,,SNA (2019),Exotic,GNR,,,,,,
IMGASZ9010,Aegopinella nitidula,Waxy Glass Snail,,SNA (2015),Exotic,G5 (2003),,,,,,
PDAPI01010,Aegopodium podagraria,goutweed,,SNA (2019),Exotic,GNR,,,,,,
PDHPC01040,Aesculus hippocastanum,horse chestnut,,SNA (2019),Exotic,GNR,,,,,,
IILEM30010,Agapeta zoegana,,,SNA (2017),Exotic,GNR,,,,,,
PDLAM03040,Agastache foeniculum,giant-hyssop,,SNA (2019),Exotic,G5 (2016),,,,,,
IILER6W020,Aglossa caprealis,,,SNA (2017),Exotic,G5 (2004),,,,,,
IILER6W010,Aglossa pinguinalis,,,SNA (2017),Exotic,GNR,,,,,,
IILEG15210,Agonopterix alstroemeriana,,,SNA (2017),Exotic,GNR,,,,,,
IILEG15470,Agonopterix arenella,Brindled Flat-body,,SNA (2020),Exotic,GNR,,,,,,
IILEG15420,Agonopterix nervosa,,,SNA (2017),Exotic,GNR,,,,,,
IICOL4H330,Agonum muelleri,Ground Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLL4160,Agriotes lineatus,Lined Click Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLL4170,Agriotes obscurus,Dusky Wireworm,,SNA (2017),Exotic,GNR,,,,,,
NFSTR01060,Agrocybe arvalis,,,SNA (2021),Exotic,GNR,,,,,,
PMPOA030M0,Agropyron cristatum,crested wheatgrass,,SNA (2019),Exotic,G5 (2015),,,,,,
PMPOA030P0,Agropyron fragile,Siberian wheatgrass,,SNA (2019),Exotic,GNR,,,,,,
PMPOA04080,Agrostis canina,velvet bentgrass,,SNA (2019),Exotic,G5 (1994),,,,,,
PMPOA04090,Agrostis capillaris,colonial bentgrass,,SNA (2019),Exotic,GNR,,,,,,
PMPOA041P0,Agrostis castellana,highland bentgrass,,SNA (2019),Exotic,GNR,,,,,,
PMPOA040H0,Agrostis gigantea,redtop,,SNA (2019),Exotic,G4G5 (1988),,,,,,
PMPOA04140,Agrostis stolonifera,creeping bentgrass,,SNA (2019),Exotic,G5 (2016),,,,,,
IICOL8X010,Ahasverus advena,Foreign Grain Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDSIM01010,Ailanthus altissima,tree of heaven,,SNA (2019),Exotic,GNR (1994),,,,,,
PMPOA05010,Aira caryophyllea,silver hairgrass,,SNA (2019),Exotic,GNR,,,,,,
