Survey_ID,Recorder.name,ID,Park.name,Trail.name,Date,Start.time,End.time,Pictures.location,Main.habitat.type,Dominant.vegetation,Substrate,Trail.type,Trail.width,Morning.Afternoon.Evening,Trail.position,Observer.name,Trip.distance..m.,Distance.between.start.and.finish..m.,Estimated.distance,Cliffs,Seep,Creek,Water.pool,Other,Total,Comments,obs,taxa,Est.dist.sc
2021-07-25 JH M ON,Ellyne,1,Beatton pp,Spruce trail,25-Jul-21,10:06,10:36,Phone,Forest,Populus,earth,bare (grassy),7,morning,on,JH,392,60,60,N,N,N,N,N,0,"JH and LDC got 2nd dose yesterday, so tired and sore today. LDC encountered a trail, told them to skip over it. I didn't check off whether photos were taken. No real discernable trail, but grassy and wide (considered entire grass corridor as path). ",32,29,-0.68172274
2021-07-25 LDC M OFF,Ellyne,1,Beatton pp,Spruce trail,25-Jul-21,10:06,10:36,Phone,Forest,Populus,earth,bare (grassy),7,morning,off,LDC,475,72,72,N,N,N,N,N,0,NA,51,41,-0.522520511
2021-07-26 LDC M OFF,Ellyne,2,Beatton pp,Spruce trail,26-Jul-21,10:25,10:55,Phone,Forest,Spruce,earth,bare (grassy),7,morning,off,LDC,500,58,58,N,N,N,N,N,0,NA,47,41,-0.708256445
2021-07-26 TM M ON,Ellyne,2,Beatton pp,Spruce trail,26-Jul-21,10:25,10:55,Phone,Forest,Spruce,earth,bare (grassy),7,morning,on,TM,245,25,20,N,N,N,N,N,0,TM didn't take after datasheet pic. The straight line distance for TM was more like 15-20 meters,56,46,-1.212396837
2021-07-25 JH A OFF,Ellyne,3,Beatton pp,Spruce trail,25-Jul-21,10:52,11:22,Phone,Forest,Spruce/Populus,earth,bare (grassy),7,afternoon,off,JH,387,110,110,N,N,N,N,N,0,NA,38,35,-0.018380118
2021-07-25 LDC A ON,Ellyne,3,Beatton pp,Spruce trail,25-Jul-21,10:52,11:22,Phone,Forest,Spruce/Populus,earth,bare (grassy),7,afternoon,on,LDC,578,114,114,N,N,N,N,N,0,"Same thing as before for JH and LDC (slightly unwell). No real discernable trail, but grassy and wide (considered entire grass corridor as path). Both JH and LDC finished around the same spot",52,49,0.034687291
2021-07-26 LDC A ON,Ellyne,4,Beatton pp,Spruce trail,26-Jul-21,11:07,11:37,Phone,Forest,Spruce/Populus,earth,bare (grassy),7,afternoon,on,LDC,557,91,91,N,N,N,N,N,0,TM took no datasheet pics,55,47,-0.270450315
2021-07-26 TM A OFF,Ellyne,4,Beatton pp,Spruce trail,26-Jul-21,11:07,11:37,Phone,Forest,Spruce/Populus,earth,bare (grassy),7,afternoon,off,TM,168,12,12,N,N,N,N,N,0,NA,35,29,-1.318531656
2021-07-26 LDC E OFF,Ellyne,5,Beatton pp,Spruce trail,26-Jul-21,12:01,12:31,Phone,Forest,Populus,earth,bare (grassy),7,evening,off,LDC,574,53,53,N,N,N,N,N,0,NA,52,39,-0.774590707
2021-07-26 TM E ON,Ellyne,5,Beatton pp,Spruce trail,26-Jul-21,12:01,12:31,Phone,Forest,Populus,earth,bare (grassy),7,evening,on,TM,314,26,26,N,N,N,N,N,0,TM took no datasheet pics. LDC went further straight line by a bit. LDC encountered small patch of alders,37,36,-1.132795722
2021-07-26 LDC N ON,Ellyne,6,Beatton pp,Spruce trail,26-Jul-21,13:27,13:57,Phone,Forest,Populus,earth,bare (grassy),6,night,on,LDC,424,118,118,N,N,N,N,N,0,"TM had thick bushes and had hard time moving. They also got really close to the trail with/in 2 meters and struggled to move deeper. Maybe 10-15 minutes close to trail, though they reported no weeds. NO datasheets by anyone",55,44,0.087754701
2021-07-26 TM N OFF,Ellyne,6,Beatton pp,Spruce trail,26-Jul-21,13:27,13:57,Phone,Forest,Populus,earth,bare (grassy),6,night,off,TM,112,12,12,N,N,N,N,N,0,NA,41,25,-1.318531656
2021-07-25 JH E ON,Ellyne,7,Beatton pp,Spruce trail,25-Jul-21,NA,NA,Phone,Forest,Spruce/Populus,earth,bare (grassy),7,evening,on,JH,509,125,125,N,N,N,N,N,0,Start time was around 11:55/11:56. JH and LDC slightly unwell. They ended pretty parallel. Trail still very grassy. Creek bed dry,32,30,0.180622668
2021-07-25 LDC E OFF,Ellyne,7,Beatton pp,Spruce trail,25-Jul-21,NA,NA,Phone,Forest,Spruce/Populus,earth,bare (grassy),7,evening,off,LDC,608,120,120,N,N,Y,N,N,1,NA,54,50,0.114288406
2021-07-26 ES M OFF,Kate,8,Beatton pp,Willow trail,26-Jul-21,9:39,10:09,Phone,Forest,Populus,earth,bare (grassy),7,morning,off,ES,729,72,72,N,N,N,N,Y,1,NA,76,52,-0.522520511
2021-07-26 JH M ON,Kate,8,Beatton pp,Willow trail,26-Jul-21,9:39,10:09,Phone,Forest,Populus,earth,bare (grassy),7,morning,on,JH,393,70,70,N,N,N,N,N,0,ES entered a wetter area (possible ephermeral creek?),31,28,-0.549054216
2021-07-25 ES M OFF,Kate,9,Beatton pp,Willow trail,25-Jul-21,9:50,10:20,Phone,Forest,Populus,earth,bare,8,morning,off,ES,652,42,42,N,N,N,N,N,0,NA,61,45,-0.920526084
2021-07-25 TM M ON,Kate,9,Beatton pp,Willow trail,25-Jul-21,9:50,10:20,Phone,Forest,Populus,earth,bare,8,morning,on,TM,331,62,62,N,N,N,N,N,0,NA,45,40,-0.655189035
2021-07-26 ES A ON,Kate,10,Beatton pp,Willow trail,26-Jul-21,10:23,10:53,Phone,Forest,Populus,earth,bare (grassy),7,afternoon,on,ES,587,141,141,N,N,N,N,N,0,NA,86,56,0.392892307
2021-07-26 JH A OFF,Kate,10,Beatton pp,Willow trail,26-Jul-21,10:23,10:53,Phone,Forest,Populus,earth,bare (grassy),7,afternoon,off,JH,376,75,75,N,N,N,N,N,0,NA,38,37,-0.482719953
2021-07-25 ES A ON,Kate,11,Beatton pp,Willow trail,25-Jul-21,10:30,11:00,Phone,Forest,Populus,earth,bare (grassy),4,afternoon,on,ES,653,158,158,N,N,N,N,N,0,ES crossed over a trail at 6 mins in. TM crossed over the same trail at 11 mins in. Missing half of the checkmarks for the later half of trial,72,53,0.618428798
2021-07-25 TM A OFF,Kate,11,Beatton pp,Willow trail,25-Jul-21,10:30,11:00,Phone,Forest,Populus,earth,bare (grassy),4,afternoon,off,TM,143,19,19,N,N,N,N,N,0,NA,48,35,-1.225663689
2021-07-26 ES E OFF,Kate,12,Beatton pp,Willow trail,26-Jul-21,11:02,11:32,Phone,Forest,Populus,earth,bare (grassy),6,evening,off,ES,618,171,171,N,N,N,N,N,0,NA,56,43,0.79089788
2021-07-26 JH E ON,Kate,12,Beatton pp,Willow trail,26-Jul-21,11:02,11:32,Phone,Forest,Populus,earth,bare (grassy),6,evening,on,JH,356,120,120,N,N,N,N,N,0,ES crossed a trail at 7 mins in,31,25,0.114288406
2021-07-25 ES E OFF,Kate,13,Beatton pp,Willow trail,25-Jul-21,11:11,11:41,Phone,Forest,Populus,earth,bare (grassy),10,evening,off,ES,711,82,82,N,N,N,N,N,0,NA,53,42,-0.389851986
